order_id,user_id,product_id,quantity,order_date,status,channel,discount,price,cost,category,amount,profit,city
ORD00000001,U00385,P0119,1,2025-08-24 00:53:56.656264,已完成,推荐,0.2,97.59,61.26,服装,78.07,29.06,杭州
ORD00000002,U00484,P0106,1,2025-10-02 03:28:56.656264,已完成,直播,0.1,1037.67,701.35,服装,933.9,302.69,成都
ORD00000003,U00337,P0198,2,2025-12-12 22:04:56.656264,已完成,直播,0.2,195.85,89.16,家居,313.36,170.7,杭州
ORD00000004,U00317,P0043,2,2026-01-02 03:33:56.656264,已完成,搜索,0.2,1994.77,1340.23,运动,3191.63,1047.26,广州
ORD00000005,U00040,P0183,2,2025-10-09 19:53:56.656264,已完成,搜索,0.0,848.61,422.54,服装,1697.22,852.14,广州
ORD00000006,U00420,P0165,2,2025-11-11 23:09:56.656264,已完成,直播,0.0,862.02,386.13,食品,1724.04,951.78,成都
ORD00000007,U00351,P0093,1,2025-08-17 19:44:56.656264,已完成,推荐,0.0,599.93,309.0,美妆,599.93,290.93,深圳
ORD00000008,U00347,P0073,1,2025-11-05 07:40:56.656264,已完成,直播,0.3,1927.34,1156.34,电子产品,1349.14,539.7,广州
ORD00000009,U00402,P0103,2,2025-10-17 03:39:56.656264,已完成,搜索,0.0,1082.92,588.54,食品,2165.84,988.76,深圳
ORD00000010,U00103,P0158,1,2025-12-28 03:16:56.656264,已完成,搜索,0.0,1621.53,784.2,服装,1621.53,837.33,上海
ORD00000011,U00320,P0092,3,2025-10-16 18:58:56.656264,已取消,直播,0.0,181.03,65.25,食品,543.09,347.34,成都
ORD00000012,U00456,P0005,1,2025-12-26 06:16:56.656264,已完成,搜索,0.2,1455.16,850.72,家居,1164.13,483.55,广州
ORD00000013,U00144,P0111,1,2026-01-29 23:36:56.656264,已完成,复购,0.0,1192.42,768.0,食品,1192.42,424.42,西安
ORD00000014,U00390,P0132,2,2025-09-01 22:20:56.656264,已退款,推荐,0.3,1816.74,936.52,家居,2543.44,1232.31,北京
ORD00000015,U00035,P0148,1,2025-12-11 19:10:56.656264,已完成,搜索,0.3,405.64,223.09,电子产品,283.95,127.78,成都
ORD00000016,U00383,P0045,1,2025-09-29 00:49:56.656264,已完成,推荐,0.0,649.37,372.34,电子产品,649.37,277.03,深圳
ORD00000017,U00225,P0002,1,2026-01-15 09:07:56.656264,已完成,直播,0.2,833.23,429.39,电子产品,666.58,323.07,上海
ORD00000018,U00132,P0106,2,2025-11-27 23:01:56.656264,已完成,搜索,0.0,1037.67,701.35,服装,2075.34,672.64,杭州
ORD00000019,U00221,P0064,2,2026-01-22 15:51:56.656264,已完成,直播,0.0,1206.11,570.69,运动,2412.22,1270.84,广州
ORD00000020,U00116,P0013,3,2025-09-23 09:01:56.656264,已完成,活动,0.0,1196.69,812.44,美妆,3590.07,1152.75,深圳
ORD00000021,U00331,P0117,1,2025-12-05 05:23:56.656264,已完成,活动,0.0,511.43,255.91,美妆,511.43,255.52,北京
ORD00000022,U00406,P0185,1,2025-11-15 15:25:56.656264,已完成,直播,0.3,1597.14,641.07,服装,1118.0,669.25,深圳
ORD00000023,U00424,P0120,1,2025-09-12 20:05:56.656264,已完成,推荐,0.2,1794.67,625.82,电子产品,1435.74,935.08,广州
ORD00000024,U00488,P0188,1,2025-10-05 01:29:56.656264,已完成,搜索,0.1,1990.76,1213.14,服装,1791.68,699.86,深圳
ORD00000025,U00400,P0197,1,2025-12-09 18:24:56.656264,待发货,复购,0.1,1168.29,749.12,美妆,1051.46,377.25,北京
ORD00000026,U00267,P0138,1,2025-12-13 21:05:56.656264,已完成,搜索,0.0,337.19,205.74,食品,337.19,131.45,深圳
ORD00000027,U00255,P0082,1,2025-09-04 08:30:56.656264,已取消,直播,0.0,1234.14,838.68,电子产品,1234.14,395.46,北京
ORD00000028,U00207,P0082,3,2025-12-23 03:13:56.656264,已完成,推荐,0.0,1234.14,838.68,电子产品,3702.42,1186.38,西安
ORD00000029,U00322,P0159,1,2025-08-19 20:19:56.656264,已完成,直播,0.0,1856.65,1106.28,家居,1856.65,750.37,杭州
ORD00000030,U00098,P0117,2,2025-09-13 06:48:56.656264,已完成,复购,0.0,511.43,255.91,美妆,1022.86,511.04,深圳
ORD00000031,U00094,P0131,1,2026-01-14 10:32:56.656264,已完成,直播,0.0,1983.88,1264.62,食品,1983.88,719.26,成都
ORD00000032,U00070,P0173,2,2025-11-09 06:50:56.656264,已完成,直播,0.0,214.57,142.38,运动,429.14,144.38,成都
ORD00000033,U00174,P0074,1,2025-11-30 00:22:56.656264,已取消,直播,0.0,1978.71,1271.68,美妆,1978.71,707.03,深圳
ORD00000034,U00078,P0199,1,2025-12-02 19:19:56.656264,已完成,搜索,0.1,706.35,272.52,电子产品,635.72,390.45,深圳
ORD00000035,U00210,P0030,1,2025-12-28 05:30:56.656264,已完成,搜索,0.3,1351.13,588.52,食品,945.79,533.83,杭州
ORD00000036,U00037,P0023,2,2025-12-15 05:53:56.656264,已完成,搜索,0.0,198.37,67.18,运动,396.74,262.38,深圳
ORD00000037,U00478,P0196,3,2025-12-07 23:14:56.656264,已完成,搜索,0.3,1958.44,1298.71,食品,4112.72,1385.43,西安
ORD00000038,U00278,P0099,1,2025-09-28 19:45:56.656264,已完成,推荐,0.0,54.32,26.59,电子产品,54.32,27.73,成都
